,lmp_node,matched_source_sink,match_score
0,EAI BEIRNE T1,BREC.REIDCT,58
1,NSP GLENWOOD GLENWO1,GRE.NSP.GREC,56
2,CLEC HUNTER2 T2,CLEC.HUNTER5,81
3,CONS RYNLS RYNLS_T1,CONS.HRSY10,60
4,DECO EVRGN 2206-7,DECO.EXGNMW2,55
5,EES PATRSN T1,EES.MTCPSST1,64
6,SME GWINVILL LD_GWINVLE1,SME.GRANDGULF,49
7,NSP BAT_CRK BAT_CR1,NSP.ALTM_1.AZ,62
8,CONS MTLCF MTLCF_T1,CONS.MCV.MCV,65
9,EES POINTB TR2,EES.FRONT_TX2,67
10,EAI MORGN2 T1,MOGEN1.AGG,61
11,EES BYUCOV SLEMCO_AUX,EES.SLEMCO,65
12,ALTE HORICONI HIP_T41,ALTE.ONIONRIV,59
13,AMMO MAUR MAUR-42,AMMO.MARC_1.AZ,65
14,CIN NASLATE BK1_69,CIN.MARKLND.1,52
15,NSP LINDSTRM TR2_115,NSP.TEA_1.AZ,50
16,EES DER T1,EES.DERSLD,70
17,ALTE EASTSCOT ESS_T31,ALTE.TOWNEST11,63
18,AMMO KIRK2 KIRK-72,AMMO.KIRK2.ARR,75
19,CONS MONUM MONUM_T1,CONS.JAXON_1,58
20,DECO SHOAL TRF_1,DECO.NESL1,62
21,GRE VRMILION GRE_TR1,GRE.MP.GRE,60
22,MEC DRFNDRY DRFNDR2,MEC.LUNDGREN,52
23,NIPS SCHAHFER 138_FGD_RAT,NIPS.SCHAHP18,53
24,GRE HARYMSER GRE_TR1,GRE.MP.GRE,60
25,HE 07FRNCSC A,HE.07LCPGEN1,48
26,SOCO FBLEAU_L LD_FOUNTNBLEAU,SOCO.FORIN.ARR,48
27,AMIL MUDY MUDY-710,AMIL.SDNY.MVP,58
28,CONS SIDSX SIDSX_T1,CONS.SCIT,57
29,AMIL NEWTON2 TR_4_138_34KV,AMIL.NEWTON21,67
30,GRE RAMSYGRE GRE_TR1,GRE.MP.GRE,60
31,MP CANISTEO 1TR,EAI.WSTMMP.ARR,55
32,ALTW WNTP WNTP1,ALTW.MTOWNCT1,71
33,EAI LR_MAR LT3,EAI.LK_CATH4,62
34,NIPS WOODLAN2 NO_1_XFMR,NIPS.NORWAPNOR,59
35,WEC MCO_WEC T6,WEC.KAC_GE5CT,67
36,DECO TODD1 TRF_1,DECO.JUDD11,67
37,ALTW BRDGPRT T4,ALTW.BRLGTN4,74
38,WPS MASONST LD_T2,NIPS.MUNSTR.LN,58
39,CIN KRAMER2 BK1_69,CIN.ESR.CRANE,52
40,DPC ALTADPC ALTADP1,DPC.DPC,54
41,EES BLCHRD T1,EES.SWTZ1.ARR,62
42,NSP VILLARD VILLAR1,NSP.WILMAR1,60
43,OTP DONALDS TR1,OTP.OTPW_1.AZ,57
44,CIN 08WVAVON LD,CIN.08NOBSN2,59
45,GRE PINECITY GRE_TR1,GRE.MP.GRE,60
46,NSP WINSTED WINSTE1,NSP.WINDVEST1,62
47,AMMO RIV RIV_BT,AMMO.HIPRAIRIE,62
48,CLEC SLIDEL LT1,CLEC.ELIZSOL,59
49,CONS CRFDZ CRFDZ_T1,CONS.PFZT,57
50,DECO STRFD DC9142,DECO.CC.DIG3,55
51,OTP HATTON TR_XCEL,OTP.OTPW_1.AZ,52
52,ALTE EASTMAN1 EASTM1,ALTE.TOWNEST11,59
53,CONS FRKMT FRKMT_T2,CONS.RVRFORK2,62
54,CIN GRNFDPKR BK2_69,CIN.MARKLND.2,56
55,EAI AUGSTA LT1,EAI.NLR_1.AZ,62
56,EMBA GLOSTR T1,EES.LONSTR1,64
57,AMIL BELL4465 BELL65,AMIL.SBL_ASIBL,53
58,AMMO BRFD BRFD-BRKS-73,AMMO.KIRK2.ARR,56
59,EES TAM T2,EES.STJAMES,67
60,HE 07WATRLO A,AMIL.HENNP.ARR,52
61,EES MIDTWN T1,EES.MTCPSST1,64
62,MDU MANDN_BN MANDAN1,MDU.DIAMNDWILW,53
63,NIPS MIDWAY3 NO_1_XFMR,NIPS.EWNMAC.NU,50
64,NSP LEON TR_DPC,NSP.FENTON.WND,62
65,OTP PLUMPIP TR3,EAI.PLUMPT,56
66,NIPS TREDEGAR TREDEGAR,NIPS.PRAXAIR,53
67,OTP TRAVWHE TR_WAUE,AMIL.TRA_ATRAE,55
68,ALTW ALEAWST ALEAWS3,ALTW.ADAMSADAM,59
69,AMMO BERK BERK_74,AMMO.KIRK,62
70,NSP OAKDALE OAKDAL3,NIPS.OAKDAPOAK,67
71,BREC MCDANIEL MCDANLS,BREC.SKILLMAN,59
72,NSP W_SIOUX W_SIOU1,NSP.W_TRIW_TR,56
73,ALTW LORAIN8 GRE_TR1,ALTW.LANS3.ARR,65
74,DPC CHIEFTAN CHIEFTIN_LD,CIN.HE.PSI,47
75,IPL 16PARKFL LD_H,ALTW.LKFLD.IPL,58
76,NIPS BANET BANET,NIPS.BENTONCO,62
77,NIPS SPRING SPRING,NSP.SPGSPG1,62
78,NSP EASTWD TR1,NSP.EASTRDG1,69
79,ALTE CENTERST CES_12KV1,ALTE.TOWNEST11,59
80,EES PRKWAY T1,EES.PERVL1,61
81,CIN CHRLSTNJ BK1_69,CIN.CAYCT.4,47
82,CONS HNRYX HNRYX_T1,CONS.HRSY10,60
83,EMBA MORHED T1,EMBA.HINDS1CT1,64
84,WEC MAES MAES_LD1,WEC.PS_ESR1_LD,65
85,CLEC WESKFT L1,CLEC.CLEC,61
86,LAGN CRBK CRBK,LAGN.BC2_1,58
87,WEC PORTWAS0 PWASH_LD8,WEC.PORTWA1ST0,67
88,WEC CENTER02 CENTER_L62,WEC.GERMANOT2,50
89,MP CANOSIA CANOSIA_LD,CONS.CA3.MPPA,53
90,NIPS LAWRENC3 LAWRENC3,BREC.NIPS.GRSL,56
91,CONS AVALN AVALN_T1,CONS.ALCONA,60
92,NSP DODGECEN CLTR2,GRE.NSP.GREC,60
93,DECO DWWTR TRF_3,DECO.GDRRF.ARR,60
94,ALTW RIVRRUN T3,ALTW.GRCT.ARR,64
95,SOCO JOBATTRD LD_JOE_BATT_RD,SOCO.FORIN.ARR,48
96,ALTE RIO00001 RIO_T41,ALTE.WRIVS_ST1,57
97,CONS ANRX ANRX_T1,NSP.CHARA_TR1,60
98,EES COLNLC T1,EES.CONC,76
99,ALTW WAPSI INDPDN1,ALTW.INDEPWIND,69
100,DECO PRICE LELNDPRICE_2,DECO.PINE_TREE,59
101,ALTW STURTCTY STUCTY1,ALTW.TURTLECRK,57
102,ALTW ALEAWST ALEAWS1,ALTW.ADAMSADAM,59
103,DECO MAYVL TRF_1,DECO.PONTC.MVP,60
104,ALTW SGRINNL SGRINN2,ALTE.GRANT.ESR,59
105,CONS MIDTR MIDTR_T1,CONS.MERIDIAN1,61
106,ALTW BRDGPRT T8,ALTW.BRLGTN3,67
107,CONS SPRKL SPRKL_T2,CONS.SPRTN,62
108,OTP EDINBRG EDINBRG1,OTP.EDGLYEDGL,61
109,SIGE SIG_SWND T2,SIGE.CIN,58
110,DECO CORTL BUS_1,DECO.BLR1.DEMO,60
111,EES DELTA6 T4,EES.DERSLD,61
112,EES ESSO 5C,EES.ESSO,84
113,CONS BAY_RD BANK_2,CONS.ALPENTHBA,56
114,CONS RIVERTOW T2,CONS.RVRFORK2,69
115,CONS GRPMP GRPMP_T2,CONS.MPPA,57
116,MDU MDWY_MD MDWY_MD1,MDU.MDU,44
117,MEC NORWLKMC NORWLK1,MEC.STORMLK_1,55
118,DECO DEWEY2 XF1,DECO.DFWE2,72
119,DECO MALRD TRF_2,DECO.LUD2,64
120,GRE EMILYGRE GRE_TR1,GRE.MP.GRE,53
121,CIN NCASTLNW CL2,AMIL.CC.CSTN,57
122,NIPS KINDERM KINDERM,NIPS.INCRMLSP,55
123,DECO PAUL1TP PAULPAUL1TP1,DECO.PUTNMP11,58
124,EES HMP T2,EES.MTCPSCT2,73
125,ALTE VINBURN VINBURN,ALTE.KILBOUNIL,59
126,ALTW BIGRALTW BIGRAL2,ALTW.BRLGTN3,61
127,EES BASTR T4,EES.BASTR2.ARR,69
128,MEC NEANKENY NEANKE1,MEC.VIENNA1,52
129,ALTE BOSCOBEL BOS_MUNI_DWNTN,ALTE.KILBOUNIL,52
130,GRE ELKRNTH TR1,GRE.ELKRI4,64
131,DECO PIPER1 TRF_1,DECO.PINE_TREE,65
132,MIUP LAND_O_L LD1,MIUP.GARWND1,62
133,CONS KENDL KENDL_T1,CONS.KENCNTY1,69
134,CONS BLKLK BLKLK_T1,CONS.CAMPBELL1,55
135,EAI ELDEST LT2,EAI.EAILD.RLA,67
136,EES LUCKY T1,EES.JWL_CT1,70
137,DECO MNARC TRF_2,DECO.MONROE2,64
138,NSP PIPOWEN TR1,CONS.MIPOWER1,71
139,NSP WACONIAN WACONI1,NSP.OWATONA_7,61
140,DPC TRIMBEL TRIMBE1,GRE.TRIMTTRIM,56
141,ALTE KOSHKONG XF1,ALTE.SFONDDLG1,65
142,GRE MAYHEW GRE_TR1,GRE.MP.GRE,64
143,AMIL ROMN TR4,AMIL.FTR,67
144,EAI HRDY_E T1,EAI.H_SPR1_CT1,67
145,MEC NEWSHAR NEWSHA1,MEC.NWHAR_IBR,56
146,MP AITKIN AITKIN1,MP.LASKIN1,59
147,AMMO VNDL XFMR_W,AMMO.MARC_1.AZ,60
148,MPW WIGGINS WIGGIN1,NSP.EWINGTON1,50
149,WPS NORTHPT BK-1,NSP.NORTHN.WND,53
150,WR MPUA AIRPORT,UPPC.PORT.ARR,57
151,ALTW WORTH2T WORTH21,ALTW.WWNORTH,69
152,EES RISER T1,EES.RICE1,76
153,DECO JACOB TRF_2,DECO.TURTLE2,57
154,CONS GUARD GUARD_T2,CONS.GRATIOT2,62
155,AMIL WRLD_TAP WRLD_TAP,AMIL.GRJ_AGRJ_,56
156,CIN MONTCLR BK1_69,CIN.MADISON.1,58
157,MP BRAINRD TR_MP_2,MP.MPM_2.AZ,62
158,CIN 08REAMAG LD1,CIN.DEI.AZ,54
159,EES DHS T2,OTP.MRES.HILS,61
160,AMIL N27THDEC N27D_3444,AMIL.DEB.NAH,51
161,MGE WMIDDLET WMD_TR7,MGE.WMD_ESR1,56
162,CONS GRBLC GRBLC_T1,CONS.EXGNBB1,58
163,WEC PARIS001 PARIS_L9,WEC.PARIS01S1,71
164,EAI CUSHMN T1,EAI.CC.HT_SPR1,59
165,CONS STARL STARL_T1,CONS.ISABELLA1,61
166,EMBA VKSBRG T2,EMBA.PRVS,61
167,CONS THOMS THOMS_T1,CONS.TUSCOLA1,56
168,CONS VNSLK VNSLK_T3,CONS.LANS,57
169,SIGE SIG_COLO T1,DECO.SIGEL1,59
170,CIN LAFAYGF A,LAFA.AZ,60
171,CIN NOB_WELL BK1_69,CIN.NOBLEVL.3,62
172,EES WELCOM T1,EES.ENCO,67
173,MEC 88TH_ST TR1,ALTW.8THST.ARR,55
174,ALTW BIGRALTW BIGRAL1,ALTW.BRLGTN3,61
175,EMBA SUNBRK T1,EMBA.SUNFLOWER,64
176,DECO P789 HILLP7891,DECO.WILMTP11,56
177,ALTE ACECQUIN A13_QCY_T41,ALTE.1ROCKGEN,47
178,CONS DEAN_RD BANK_1,CONS.WEADO.ARR,61
179,CONS BARLW BARLW_T1,ALTW.BARTON2,65
180,EES ECH T2,EES.CC.JWL_2,64
181,EMBA EDWRDS T1,EMBA.DELTA_WND,57
182,CIN TOADHOP BK1_69,CIN.MADISON.1,58
183,NIPS ILLINOI2 NO_1_XFMR,NIPS.MNTIC2.NU,54
184,CONS SPRFD SPRFD_T2,CONS.SPRTN,62
185,DPC GRANDAD GRANDA1,NSP.RAETNA.WND,55
186,WPS CLOVERLE CLOVRLF345_COP,CONS.COVRT3_ST,49
187,CIN SPENSUB BK2_69,CIN.GIBSON.2,53
188,CONS MILLCK TRF1,CONS.FICTYMR,64
189,WEC ELKHARKL ELK-LK_L5,EES.LKCHAR_CT1,50
190,CONS COURT_MT COURT_T1,CONS.COVRT1_ST,61
191,CWLP GRANDVIE GRANDVIE691,CWLP.REYNOLS91,51
192,WPS OGS LD_T3,WPS.BDGHLW1S,56
193,CONS BRGDN BRGDN_T1,NSP.BR_DIR_TR1,61
194,DECO BENSN DC8720,DECO.CC.BWEC,62
195,WPS WAUPACA BK-1,UPPC.WPSE,56
196,ALTW JEFRWCC CL1,ALTW.RCCS.ARR,62
197,MGE PHEASANT PHB_TR2,DECO.PHEASANT1,59
198,DECO JEWELL BANK_1,DECO.ESSEX.ARR,56
199,DECO PLUTO TRF_2,DECO.LUD2,64
200,MEC SOUTHLND BLDG6B,MEC.SOTHRNHL1,56
201,DPC LUDINGT LUDING1,CONS.LUDINGTN5,61
202,SIGE SIG_RLHL T1,SIGE.SIGW,56
203,MEC SUB704 TR1,MEC.STORMLK_1,59
204,CIN OSGOOD2 BK1_69,CIN.GIBSON.1,53
205,DECO CASSC TRF_1,DECO.GDRRF.ARR,60
206,MEC SCHALER SCHALE1,SIGE.CANL1.AMP,55
207,CONS STERN STERN_T1,CONS.SPRTN,62
208,DPC FREMNTDP FREMNT1,NSP.CC.MANKAT1,53
209,MEC FALLOWAV HRTLDV2_LD,MEC.HRTDV2.WND,54
210,AMIL 2GRIGSVL 2GRIGGSVILLE,BREC.NIPS.GRSL,45
211,SMP N_HILLS N_HILL2,MIUP.CHALKHILL,55
212,AMMO RUSL RUSL_72,AMMO.RUSHIS2,69
213,EAI NUCORYAM SOUTH,ALTW.SOUTH.FRK,56
214,DECO COMLK_TP COMLKCOMLK_TP1,DECO.CMSM_1.AZ,52
215,AMIL KICKAPOO KICK_3468,AMIL.IP.IMEA,51
216,DECO PERU2 TRF_2,DECO.PEGASUS2,62
217,EES EXONPL T2,EES.EXXON,73
218,MIUP ECKERMAN L1,MIUP.MANSTQN1,62
219,DECO NWEST 40_KV,DECO.NESL1,62
220,BREC WOWENSBO WOWENSBORO,BREC.SEBREESO,54
221,DPC COLBUDPC COLBUDPC1,DPC.DPC,48
222,NIPS WHEATFLD NO_1_XFMR,NIPS.NORWAPNOR,54
223,UPPC BARNUM1 BARNUM,UPPC.AUTRAIN,58
224,ALTW ELGIN ELGIN1,LAGN.LAGN_1.AZ,65
225,EES GUSHER T2,EES.WASHEC_CT2,67
226,WEC NIMBUS24 T14,WEC.PARIS01S4,55
227,WPS COYNE LD_T5,CONS.PAL_WPSC,64
228,NSP HEARTLND HEARTL2,NSP.HATFIHAT1,61
229,CIN WEST_DIT BK1_69,CIN.WHEATCTG2,50
230,EAI BONO T1,EAI.ANO1,63
231,EES WATERF WATRF6_AUX_LOD,EES.WATRFD3,56
232,OTP ELBOWLK TR_OTP1,OTP.OTPW_1.AZ,56
233,NSP BLOOMER TR2,NSP.BLKBROOK,59
234,WEC ARTHURRD HARTFORD,ALTW.DAEC.ARR,53
235,NSP PR_ISLD TR2RSY,NSP.PRISL2,71
236,ALTE BOWLER BWR_BWR,ALTE.BEARCRK,58
237,NSP FRNKLN FRNKLN1,CIN.NIPS.FRBNK,56
238,DECO SHERW TRF_1,DECO.RRP11,62
239,SOCO HMLFRMRD LD_HAMILL_FRM,SOCO.FORIN.ARR,49
240,GRE MILACA GRE_TR2,GRE.MP.GRE,64
241,EAI STUTRK LT1,EAI.STUTTGART,67
242,AMMO ORAN ORAN_72,AMMO.HANN_1.AZ,65
243,ALTW SPRGCRK SPRGCRK1,ALTW.PRARC1,62
244,EES DME T1,EES.DEMCO,63
245,AMIL 6658_TP1 CST1,AMIL.CSTNCTG1,58
246,NSP KASSON KASSON2,NSP.ANSON2,71
247,SME PUCKE_SM LD_PUCKETT,SMP.CCRK2.RPU,44
248,ALTE KIELER KIE_T41,ALTE.EDG.ESR,58
249,CLEC TECHE1 GEN_AUX1,CLEC.NATCH,67
250,ALTE WPN_MAIN WAP_MUNI_MAIN2,ALTW.CMMPA.WIN,52
251,EES PECUE T_SPARE,EES.GEISMAR,57
252,EES ALSEN T1,EES.ETMP_1.AZ,64
253,LAGN GLOB GLOB,LAGN.LAGN,61
254,DECO KNGTNTEC TRF_1,DECO.NEC,59
255,EES MERAUX T5,HE.MEROM_AUX,64
256,MEC HILLS HILLS1,MEC.ARBHILL_S,62
257,AMMO VHFM VHFM,AMMO.WVPA.CZHI,57
258,CONS SEAMLJCT BANK_1,CONS.SELC,62
259,DECO NBURG XF13,DECO.NEP132,62
260,EES CDL T1,EES.CALDWELL,64
261,AMIL 2BURT_TP 2BURTON,AMIL.AMBT,47
262,MIUP BRUCE_CR ONTREA,MIUP.PRESQ.ARR,59
263,EES REDGUM T2,EES.EGMP_2.AZ,62
264,DECO FRISB 24_KV,DECO.FERMI2,59
265,WPS OCONTO BK-2,WPS.OCONTO.MP,79
266,CONS DENSOJAX BANK_2,CONS.LANS.ARR,55
267,DECO MOTT2TAP MOTT2MOTT2TAP,DECO.PONTC.MVP,49
268,CONS MANTB MANTB_T1,CONS.VKMCBAIN1,61
269,DECO NBALT XF3,DECO.NOBEL,67
270,EAI LAKCITY LT1,EAI.LK_CATH4,59
271,EMBA CALTRL T1,EMBA.ATTALA1,62
272,CIN HEWILGRN BK1_69,CIN.HENRYCO.1,56
273,EES SCN T2,EES.MTCPSCT2,73
274,ALTW WHITEFWN T1,ALTW.WHISPERWI,67
275,CONS CHBYX CHBYX_T2,CONS.CHS2,57
276,EES CHURCH_E T1,EES.CC.JWL_1,59
277,WEC CLS 5120,CLEC.ACA12,64
278,AMMO TGLR TGLR_75_LD,AMMO.FGRDCTG1,55
279,CIN CARROH BK1_69,CIN.CAYUGA.1,55
280,CONS ALDRH ALDRH_T1,AMIL.BALDT1.NU,61
281,CONS SOLAR1 T2,CONS.TUSCOLA1,74
282,AMIL KEYSTONE TR1_CIL,AMIL.SESRETAIL,63
283,NIPS SHILO SHILO,NIPS.USS,58
284,OTP JAMSPK JAMSPK1,OTP.JAMSPK1,76
285,EAI LR_E LT2,EAI.NLRLD,67
286,EES CLNTON T1,EES.CONC,67
287,ALTW GENFOOD GENFOD1,GRE.ALTW.ENDVI,65
288,CONS CLYTN CLYTN_T2,CONS.CCG_2.AZ,56
289,EAI CAMDMG T1,EAI.CWAYLD,61
290,EES PWOODS SEAWAY_1,EES.FORMOSA_BR,55
291,NSP KOCHREF TR15,NSP.CHPRES,62
292,ALTW MEDFRDJ MEDFRD1,ALTW.LEDYD.MVP,59
293,EAI GAINVL CECC_T1,EAI.AECC_1.AZ,65
294,EES FAIRBK T2,EES.FRONT_TX2,62
295,NIPS WARNER2 WARNER,NIPS.NORWAPNOR,67
296,NSP CLIFFAVE CLIFFA1,NSP.BIGFALL_A,55
297,ALTW DEERRUN T_2,ALTW.EMERY_2,71
298,UPPC ONT ONTO69ONT1250,UPPC.ONTONAGON,67
299,DPC SPGFLDPC SPGFL1,DPC.FILMOR.SLR,55
300,SIGE SIG_GIVE T1,SIGE.SIGW,64
301,AMIL WWASHST TR4,AMIL.CASS,64
302,ALTW COGGONMN COGGONMN1,AMIL.COG_ACOGG,54
303,EMBA GLENAL J2820_LOAD,EMBA.EMILD.RLA,56
304,EES LIBRT8 T1,EES.LIBERTY,75
305,ALTW NEWHALL IPLCL1,ALTW.LKFLD.IPL,67
306,MP NASHWAK NASHWA1,NSP.CMMPA.KASS,50
307,EMBA RNKNIN T2,EMBA.HINDS2,64
308,DECO EMERALDB TRF1,DECO.DEERFLD,67
309,EAI ELDJAX LT1,EAI.EAILD.RLA,67
310,EES ALMON T2,EES.MORTN2.ARR,62
311,GRE WILSONLK GRE_TR1,GRE.SMP.GRE,58
312,NSP FRENCH_G FRENCH2,NSP.FRENCH2,71
313,AMMO PRSL XFMR_1,AMMO.PERR_1.AZ,67
314,MP VIRGNIA TR_MP_1,UPPC.VICTORIA2,50
315,EAI LEVESQUE LT1,EES.WLTGR1.ARR,60
316,DECO TCOMA XF1,DECO.TUSCOLA2,67
317,DECO APACE TRF_3,DECO.APPLE,62
318,LAGN VEAZ VEAZ,ALTW.TEA_1.AZ,52
319,DECO QUAKER2 TRF1,DECO.TURTLE1,62
320,CONS FREMT FREMT_T1,CONS.CRESCENT,56
321,SIGE WARRICKW FF1,SIGE.WAR4SIGE,60
322,WEC NIMBUS24 T21,WEC.BUTRIDGE1,55
323,WEC RACINE RACINE_L102,CIN.ESR.CRANE,57
324,WPS SUAMICO LD_T1,AMIL.WPSE,54
325,AMMO ORGD XF_1,AMMO.MORUCTG1,67
326,NSP CREDRIV TR2,NSP.CEDARFAL,59
327,ALTW RIVRRUN STLUKES,ALTW.LOSTLAKES,65
328,CONS IRONWORK T1,CONS.MIPOWER1,69
329,CIN CONVERSE BK1_69,CIN.CT.VERMN.6,61
330,EES HUMBLE T1,EES.UCBECO,61
331,MGE ROYSTER RYS_TR1,MGE.WMD_ESR1,52
332,NIPS 61ST_AVE NO_2_XFMR,NIPS.REYNO.MVP,49
333,CIN 08AVONSO BK1,CIN.08NOBSN1,71
334,NSP CNTURYFB GRE_TR1,NSP.BUFFR_TR1,67
335,EES KIRBY_E T1,EES.LKCHAR_CT1,64
336,DECO MORTN TRF1,DECO.MONROE1,74
337,GRE HOWARDLK GRE_TR1,GRE.MP.GRE,53
338,NIPS FLINT_LK NO_8_XFMR,NIPS.STJOHN.LN,49
339,SME CLEO_SM LD_CLEO,SME.CC.MOS_CC2,55
340,DPC MTZION MTZION1,CIN.TIPMONT,55
341,SMP WILLOW2 WILLOW2,MEC.ROLLHILL_2,48
342,EES ALDEN_E T1,EES.CALDWELL,62
343,OTP ALXNOKOM TR_MRES,ALTW.MRES,55
344,EAI LR_ROK LT2,EAI.NLRLD,61
345,SIGE DK_LYNNV T1,DECO.SIGEL1,52
346,CIN PTBRGPK BK1_69,CIN.MARKLND.1,52
347,EAI BENT_W T1,EAI.DELL.ST3,56
348,DPC WAT_TDP WAT_TA1,WPS.DPC.WESTN4,55
349,CONS GRAYX GRAYX_T1,CONS.GRAYLGY2,69
350,EAI ELDPCH T1,EAI.UPS4_CT1,64
351,NIPS CRESTON1 NO_1_XFMR,SMP.PRESTON,53
352,GRE HAWICK GRE_TR1,GRE.MP.GRE,57
353,DECO DAVIS_TP DAVIS_TPKEEGO1,DECO.BSEDTE1,50
354,DECO VITAL TRF1,DECO.TURTLE2,67
355,CIN TAYLORJ BK1_69,CIN.MARKLND.1,52
356,EES FLT T2,EES.FRONT_TX2,70
357,NSP S_RENNER TR01,NSP.S_RIDGE1,62
358,DECO WOLFH XF1,DECO.LUD1,61
359,CLEC BERWIC T1,CLEC.CLEC,61
360,CONS EMRLD EMRLD_T2,CONS.ZEELAND2A,61
361,HE PC_INDPK 8,IPL.HEPM_1.AZ,54
362,WPS ROCKLAN1 LD_TR1,WPS.TWOCRK1S,58
363,ALTW ALBIN ALBIN1,ALTE.ALBANY,64
364,EES MONOCH T2,EES.OUACH_2,67
365,ALTE EVANSVIL EVA_MAIN_WEST,ALTE.CASSVILLE,54
366,EES MKN T2,EES.MTCPSCT2,64
367,DECO BELVL TRF_1,DECO.BELRV.MVP,67
368,ALTE PORTAGBA POR_T31,ALTE.PAR_1.AZ,53
369,ALTW TIFN TIFN2,ALTW.MTOWNCT2,64
370,BREC HANSON HANSON,NSP.ANSON4,57
371,CONS MUSKEGON BANK_5,CONS.KARN.ARR,55
372,NSP CAMENSP CAMENS1,NSP.HAMPTN.MVP,61
373,OTP BERG BERG2,OTP.EDGLYEDGL,59
374,NSP LTCHFLD LTCHFL1,NSP.CODA.BYLL,56
375,ALTW KANSR KANSR1,ALTW.LANS3.ARR,71
376,AMIL LOUS LOUS-784,ALTW.LOUIS.SLR,56
377,AMMO LABADIE XF_STG_2,AMMO.LABADIE2,76
378,DECO ROCKW XF1,DECO.GRNWD1,64
379,EES CRSPRK 2,EES.CONCPK,64
380,NSP BLK_DOG BLK_DO1,NSP.BLKDO5,62
381,MP BLNCHRD BLNCHR4,MP.BLNCHR123,60
382,CONS BEGRD BEGRD_T1,NSP.BR_DIR_TR1,61
383,NSP TRACYSW TRACYS1,NSP.STONERAY,58
384,HE 07MRM_D A,AMMO.UE.AZ,55
385,NIPS SUTTON2 SUTTON,NIPS.WHITNST,58
386,EAI ALTIMR T1,ALTW.TEA_1.AZ,62
387,DECO ETHAN CL1,CLEC.ERATH,67
388,EES ARIZON T2,EES.MORTN2.ARR,67
389,ALTE BUSINESS SUN_BIZPARK_T1,ALTE.PAR_1.AZ,54
390,HE 07LOGAN A,HE.07LCPGEN1,67
391,CIN BROCKGLS BK2_69,NSP.BLKBROOK,52
392,WEC DEWEY001 DEWEY_L7,WEC.PS_ESR1_LD,46
393,CONS WILMS_MT WILMS_T1,CONS.SCIT,52
394,MEC EARLHAM TR2,MEC.ADAMS,58
395,NIPS UNIVERTL UNIVERTL,NIPS.WHITNST,53
396,NSP MEI_INT MEI_IN2,NSP.NEW_PNEW_,56
397,EES PGR T2,EES.SPORT2.ARR,67
398,AMMO DORT XF_2,AMMO.SIOUX2,64
399,EES CAMLIA T5,EES.AXIALL,61
400,OTP DETLFRNT TR_MRES,OTP.RUGBY1MRES,53
401,ALTW SHERILL SHERIL1,ALTW.WHISPERWI,65
402,SME HINTONVI LEAFRIVER_GEN,SME.LEAFRIVER,67
403,NSP LENA GRE_TR1,GRE.NSP.GREC,64
404,CLEC PINEVL LT2,CLEC.ELIZSOL,59
405,EES MIM T2,EES.NINEM6_CT2,67
406,EES INCSTL T6B,EES.NINEM6_ST,59
407,AMIL VIRS2 VIRS_205,AMIL.PS2.NIMP,56
408,CONS DOW_CORN BANK_2,CONS.KARN.ARR,55
409,DPC SANDRDGD T47C,DPC.DPC,50
410,CONS ORCRD ORCRD_T1,CONS.COVRT1_ST,61
411,DECO GENDY TRF_1,DECO.GRNWD1,67
412,CIN 08WASHMU BK2,CIN.08NOBSN2,57
413,DECO VASARTEC TRF_1,DECO.TURTLE2,58
414,ALTW DBQ17TH T2,ALTW.BRLGTN2,59
415,NSP KINGSTON GRE_TR1,NSP.EWINGTON1,67
416,EAI THYR_S B3702_LOAD,EAI.NLR_1.AZ,48
417,DECO MACMB TK2319,DECO.MCKINLEY1,58
418,ALTE LSN LSN_LD,ALTW.LOUIS.SLR,62
419,CIN 08FRLICK A,CONS.ALCONA,48
420,DPC STOCKTO STOCKT1,ONT.DECO.PSOUT,55
421,EAI CHAPEL T1,EAI.DELL.ST3,64
422,WEC BARKRIVE BARK-R_L7,BREC.COLE.ARR,51
423,AMMO ELM ELM_W,AMMO.MERAMEC2,59
424,ALTW CLARENC2 CLARENCE,ALTW.DAEC.ARR,63
425,CONS BRPMP BRPMP_T1,NSP.BR_DIR_TR1,55
426,MP PINERVRM CROWWING,CONS.PINERVR1,67
427,MEC CLRKVIL CLRKVI2,MEC.CLIPR1,55
428,SOCO S_LUCEDA LD_S_LUCEDALE,CLEC.RPS2.LEPA,44
429,MEC SUB_P SUB_P4,DECO.SUPP114,57
430,SME RDWD13 LD_FT_REDWOOD,MGE.BLT_ESR1,50
431,DECO SLYON TRF_1,DECO.MONROE1,64
432,CONS LKSHR LKSHR_T1,CONS.HRSY10,60
433,ALTE MONROES0 MNR_T42,ALTE.TOWNEST11,57
434,SME ISLA13 LD_ISOLA_B,SME.MS_SOLAR3,59
435,ALTW SQRD SQRD1,ALTW.DRUN.ESR1,69
436,AMMO MRSL MRSL_78,AMMO.MRRIS.SLR,71
437,CONS ELSWH ELSWH_T2,CONS.LBWL.CSEL,61
438,WEC DUPLAINV L9,AMIL.WWEC,58
439,UPPC SHGT_TAP L1,UPPC.GLADSTONE,53
440,ALTW WAPLLCTY WAPLLC1,ALTW.WAPLOSOLR,57
441,SME KING13 LD_KINGSTON_B,NSP.KING1,48
442,CONS OTSGZ OTSGZ_T1,CONS.TUSCOLA1,56
