,lmp_node,matched_source_sink,match_score
1978,NSP ROGRSLK ROGRSL2,NSP.PRISL2_LD,56
1979,WEC BUTTEDES 5180,WEC.BUTRIDGE1,60
1980,WEC NIMBUS24 T8,WEC.BLUSKYGF,52
1981,EAI RFDSOL AUX,EAI.WBSOL,61
1982,AMIL AMAE AMAE_AMRN,AMIL.AMAEAMAN,81
1983,NIPS AMER_REN AMER_REN,AMIL.HENNP.ARR,56
1984,NSP MOUND3 MOUND2,NSP.ANSON3,59
1985,EAI DESARC T1,EAI.DELL.ST3,64
1986,NIPS HEBRON1 NO_2_XFMR,NIPS.EWNMAC.NU,50
1987,OTP GREENWD GREENW1,GRE.MP.GRE,62
1988,EAI KERLIN T1,AMIL.CLINTO51,62
1989,CONS STNDS STNDS_T1,CONS.SCWND1,60
1990,AMIL NORMAL_E NRME_3433,AMIL.NLT_ANEW_,59
1991,ALTE VERONA02 XF2,ALTE.NEENAHG2,60
1992,EES PAUGER T4,EES.PERVL2_CT,62
1993,DECO MEDNA DC2,DECO.BLR2.MPPA,64
1994,CONS CAMDX CAMDX_T1,CONS.CCG_1.AZ,62
1995,ALTW JACKSNT GRE_WISC,ALTW.RICHLAND,59
1996,ALTW FULDA FULDA1,ALTW.FCLDFCL1,73
1997,CONS CUTVL CUTVL_T1,CONS.MCV.MCV,65
1998,SME BAXTRVIL LD_BAXTERVILLE,EES.BXTRWL.ARR,49
1999,CIN HELEWIS BK1_69,CIN.GIBSON.1,53
2000,CONS CAMPBEL4 BANK_9,CONS.CAMPBELL2,71
2001,AMMO WAT WAT_CHIP_3,AMMO.WVPA_3.AZ,67
2002,EES MIDWA3 T1,EES.LA3,60
2003,NIPS UGN_INC UGN_INC,NIPS.NIPS,48
2004,CIN GEMCREEK BK1_69,CIN.MARKLND.1,56
2005,NSP WESCOTPK WESCOT1,NSP.WESTSID1,56
2006,EAI CHISOL G1,EAI.AECCWCSOL,62
2007,MEC ALLEMAN ALLEMA1,MEC.ALTM_1.AZ,62
2008,ALTE REEDSBU0 LOG_REE,GRE.REC.DATA,55
2009,MP NOKAY TR_GRE,MP.TACRIDGE1,52
2010,EMBA CLVLND T2,EMBA.DELTA_WND,57
2011,DPC NATIODP NATION1,DPC.WINNEBAGO,50
2012,EAI DANVL2 T1,EAI.ANO2,67
2013,EES COMRCE T1,EES.CONCECO,67
2014,ALTE NEV_ALTE AUX2,ALTE.ALTE,67
2015,CONS ENGPL ENGPL_T1,CONS.RENAIGEN1,67
2016,EMBA BRANDN T2,OTP.MPC.LANGDN,57
2017,ALTW PORLDALT PORLDA3,ALTW.LEDYARD,61
2018,DPC HAWKEYE HAWKEY1,ALTW.HAWKEYE1,62
2019,WPS WILDWOO1 BK-4,WPS.BDGHLW1S,55
2020,AMMO HWYN HWYN_73,AMMO.HANN_1.AZ,58
2021,SME HWY588 LD_HWY588,MEC.LVED_1.AZ,42
2022,CONS SLVLX SLVLX_T2,CONS.LBWL.CSEL,61
2023,NSP STANLYNS STANLY1,NSP.STONERAY,56
2024,DPC BRUNSWI BRUNSW1,NSP.BLUEL1,48
2025,MDU BISM_NW BISMDU1,MDU.DIAMNDWILW,55
2026,EMBA NORPRK T1,EMBA.PRVS,61
2027,ALTW OELWEINH T1,ALTW.WIN1,72
2028,SOCO HELENA LD_HELENA,HE.HEIRLOOM,50
2029,NSP BROWNTN LOAD2,NSP.NCPLOAD,64
2030,CIN ANDREWS BK1_69_1,NSP.MRES_6.AZ,48
2031,NSP ROCKCK LOAD1_NWEC,ALTE.NROCK,52
2032,SME GRNW13 LD_GREENWOOD,GRE.SMP.GRE,53
2033,ALTE DARLINGT DAR_T32,ALTE.EDG3.ARR,59
2034,EAI PALESTN LT1,AMIL.PLST,67
2035,ALTW HOLYCR HOLYCR1,ALTW.HANCOC1,65
2036,DECO FULER_1 TRF_1,DECO.DLRYP11,60
2037,EES BURTON_E T2,EES.BRTNY1.ARR,55
2038,CIN GRSOMAFB BK1_69,CIN.GIBSON.1,58
2039,NSP CASTLROK CASTLR2,NSP.CHARA_TR1,61
2040,OTP BENSON TR_GRE,OTP.BENSON.ARR,65
2041,EES PRKWAY T2,EES.WATRFD2,67
2042,CIN BRWBRG_N TR,CIN.ESR.ATTBRY,55
2043,OTP LITLFOTP TR1,OTP.OTP,61
2044,AMIL NDECATUR NDEC_3373,AMIL.DEB.NAH,57
2045,MP NEMADJI HUSKY,AMMO.NEWMADRID,53
2046,DECO OTSGO XF2,DECO.TUSCOLA2,67
2047,ALTW ADM100 SG41,ALTW.WSEC4,54
2048,NIPS NIBCO NIBCO,NIPS.BENTONCO,69
2049,EES FLORDA T1,EES.LONSTR1,67
2050,CONS LKWOD LKWOD_T1,NSP.WOODST1,60
2051,SME BRND13 LD_BRANDON,SME.BENN.ARR,55
2052,NIPS HELMER HELMER,NIPS.MUNSTR.LN,56
2053,EMBA CLVLND T3,EAI.DELL.ST3,62
2054,EES NOPS AUX_3000,EES.CC.NOPS,64
2055,EES STL T1,EES.STRSOL,70
