,node,matched_source_sink,match_score,congestion deviation,congestion mean,congestion skew,congestion kurtosis,Sink score,Source score,cluster
12835,AMIL DQUON_69 DUQUOIN_DIV_ST,AMIL.VIN_AVINT,48,13.874090572970124,2.866830769230769,-1.5176968019920825,17.31007483662554,33.714066275524246,65.4583426566085,1
3738,CIN GRNFDPKR BK1_69,CIN.MARKLND.1,56,12.827159205301655,3.851046153846154,-2.1159316783008273,18.27726372685182,33.68460547014123,64.25119945649261,21
54,CIN GRNFDPKR BK2_69,CIN.MARKLND.2,56,12.827159205301655,3.851046153846154,-2.1159316783008273,18.27726372685182,33.68460547014123,64.25119945649261,21
1865,AMIL OEEP 02PLANT,AMIL.EEI,56,6.018581114942699,-1.0958412698412698,0.23200550692819696,2.323182370574794,33.67381807668204,76.59633537437239,18
1355,AMIL OEEP PLANT,AMIL.PLST,67,6.018581114942699,-1.0958412698412698,0.23200550692819696,2.323182370574794,33.67381807668204,76.59633537437239,18
10711,AMIL OEEP EXPANSION,AMIL.GEXAIEC,65,6.018581114942699,-1.0958412698412698,0.23200550692819696,2.323182370574794,33.67381807668204,76.59633537437239,18
14538,SIGE SIG_HMWY T1,SIGE.SIGW,56,14.049742819682347,3.470851282051282,-1.778607343386841,19.21724835507604,33.67104233127412,64.00054466511051,75
10146,CIN NUCOR 893,CIN.HENRYCO.3,69,12.94065460615345,3.629323076923077,-2.1083549163415913,17.31829181638412,33.63425629652051,64.94045257170262,21
6994,CIN NUCOR 894,CIN.HENRYCO.2,62,12.94065460615345,3.629323076923077,-2.1083549163415913,17.31829181638412,33.63425629652051,64.94045257170262,21
7092,CIN NUCOR 895,CIN.HENRYCO.2,62,12.94065460615345,3.629323076923077,-2.1083549163415913,17.31829181638412,33.63425629652051,64.94045257170262,21
4913,CIN NUCOR 892,CIN.HENRYCO.2,69,12.94065460615345,3.629323076923077,-2.1083549163415913,17.31829181638412,33.63425629652051,64.94045257170262,21
7440,CIN NUCOR 891,CIN.HENRYCO.1,69,12.94065460615345,3.629323076923077,-2.1083549163415913,17.31829181638412,33.63425629652051,64.94045257170262,21
9444,CIN NUCOR 896,CIN.HENRYCO.2,62,12.94065460615345,3.629323076923077,-2.1083549163415913,17.31829181638412,33.63425629652051,64.94045257170262,21
13008,OTP CLBKPIP TR4,OTP.BEPC1,50,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
6011,OTP CLBKPIP TR2,OTP.MPC.YNG2,52,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
10557,OTP CLBKPIP TR6,OTP.BEPC1,50,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
4515,OTP CLBKPIP TR1,OTP.OTPW_1.AZ,50,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
10905,OTP CLEARBR TR1,OTP.OTPW_1.AZ,57,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
14215,OTP CLBKPIP TR3,OTP.BEPC1,50,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
6288,OTP MN_PIPE TR1,NSP.OTP,55,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
4776,OTP CLBKPIP TR5,OTP.BEPC1,50,13.780887983617632,0.35472820512820513,-0.9217837796863575,7.333226340528432,33.63329629216759,72.68031861008959,29
