,node,matched_source_sink,match_score,congestion deviation,congestion mean,congestion skew,congestion kurtosis,Sink score,Source score,cluster
449,NSP DAHLGREN TR1,GRE.NSPP_1.AZ,62,78.33899188895059,19.9836476426799,4.461218244738862,21.654065544114516,100.0,14.678908967775158,72
5937,NSP PIKELKNS PIK1,NSP.WPIPST1,57,63.98645292549828,15.999023986765922,4.445220668494186,21.578597314494026,87.96277694755972,24.100811207785355,72
2175,LAGN BRKC BRKC,BREC.BREC,61,69.6076389843677,15.076455223880597,8.833949496272012,100.14169745234942,86.28955128345629,11.763428087627162,69
5642,AMIL SPARTAIP SPAR_3343,AMIL.SESRETAIL,59,40.823609535648856,16.108709677419355,3.2205246964144556,10.187671655242006,82.1327389774396,28.856297412450573,8
11632,AMIL SPARTAIP TR1_12KV,AMIL.PRAIRIECK,61,40.823609535648856,16.108709677419355,3.2205246964144556,10.187671655242006,82.1327389774396,28.856297412450573,8
8288,AMIL SPARTAIP SPAR_3332,AMIL.SESRETAIL,59,40.823609535648856,16.108709677419355,3.2205246964144556,10.187671655242006,82.1327389774396,28.856297412450573,8
5237,AMIL SPARTAIP TR2_12KV,AMIL.PRAIRIECK,61,40.823609535648856,16.108709677419355,3.2205246964144556,10.187671655242006,82.1327389774396,28.856297412450573,8
8258,AMIL SPARTAIP SPAR_3460,AMIL.SESRETAIL,59,40.823609535648856,16.108709677419355,3.2205246964144556,10.187671655242006,82.1327389774396,28.856297412450573,8
5246,AMIL SPARTAIP SPAR_3467,AMIL.SESRETAIL,59,40.823609535648856,16.108709677419355,3.2205246964144556,10.187671655242006,82.1327389774396,28.856297412450573,8
4713,WAUE FORMNWA FORMNWAOTP_TIE,WEC.ROOT_PIKE,50,36.43456289782083,14.846765922249794,1.9072618984854581,4.281301747301048,77.35770575001911,33.18875666871868,20
9136,LAGT BRKC_L BRKC,BREC.BREC,56,58.938553917805955,10.5797270471464,9.962392260406965,133.52512010496446,72.79561985919685,16.271962257976554,69
10892,WAUE BEARCRKM BEARCRK1,ALTE.BEARCRK,53,35.519357169281136,11.900372208436725,0.9841054165428065,4.763193034108499,69.74524699290902,39.2382774613252,20
1917,AMIL STEELVIL TR2,AMIL.TILTU2,71,28.55137599815731,11.472125723738626,3.1697317213759355,10.01279205248861,69.16188595391961,39.309093980049724,8
4642,AMIL STEELVIL STVL_3362,AMIL.TILTU2,59,28.55137599815731,11.472125723738626,3.1697317213759355,10.01279205248861,69.16188595391961,39.309093980049724,8
3201,AMIL STEELVIL STVL_3350,AMIL.TILTU3,59,28.55137599815731,11.472125723738626,3.1697317213759355,10.01279205248861,69.16188595391961,39.309093980049724,8
13204,AMIL STEELVIL STVL_3324,AMIL.TILTU2,59,28.55137599815731,11.472125723738626,3.1697317213759355,10.01279205248861,69.16188595391961,39.309093980049724,8
7931,AMIL STEELVIL STVL_3343,AMIL.TILTU3,59,28.55137599815731,11.472125723738626,3.1697317213759355,10.01279205248861,69.16188595391961,39.309093980049724,8
4209,CLEC RAMSAY 6B,CLEC.MPS3,61,47.4208436559287,8.339801488833746,9.844688373938727,131.46459237864056,65.23073106050623,22.329235743379456,69
9064,CLEC RAMSAY 6A,CLEC.DPS.ARR,62,47.4208436559287,8.339801488833746,9.844688373938727,131.46459237864056,65.23073106050623,22.329235743379456,69
13119,NSP PRIORLAK GRE_TR2,GRE.ROCKLAKE,56,32.859576146271216,7.644789081885856,4.2703651237171,20.665567472726213,62.37729614491635,44.14580581809398,32
7864,NSP PRIORLAK GRE_TR1,GRE.ROCKLAKE,56,32.859576146271216,7.644789081885856,4.2703651237171,20.665567472726213,62.37729614491635,44.14580581809398,32
326,NSP CREDRIV TR2,NSP.CEDARFAL,59,32.79832026169731,7.628420181968569,4.269417077759272,20.660395850789634,62.326687198337076,44.18584551543217,32
2181,NSP CREDRIV TR1,NSP.CEDARFAL,59,32.79832026169731,7.628420181968569,4.269417077759272,20.660395850789634,62.326687198337076,44.18584551543217,32
2282,WAUE COGSWEL COGSWE2,CONS.LBWL.CSEL,59,27.10503800965718,9.001629445822994,1.624024105696405,3.8590198995162055,62.256359463991025,45.73454016278001,20
7996,NSP YNGAMRCA YNGAMR2,NSP.NSTARSOLAR,53,30.98848428577137,7.4843176178660045,4.250561913882788,20.76456649876823,61.552911295607664,44.67338840799786,32
6401,NSP YNGAMRCA YNGAMR1,NSP.NSTARSOLAR,53,30.98848428577137,7.4843176178660045,4.250561913882788,20.76456649876823,61.552911295607664,44.67338840799786,32
3657,LAGN MAND MAND,LAGN.LAGN,61,31.272956471370392,7.186542288557213,8.562143790275737,95.97759948314547,60.10643155358543,32.311273432015554,69
9791,AMMO LYMT LYMT1,AMMO.KMDYCTG1,64,24.016333057958075,7.104665012406949,4.6478003768668845,27.5017589150876,58.99344231439819,45.08772403137902,66
3901,NSP BURNSCOT GRE_TR1,NSP.BUFFR_TR1,67,28.020680727594133,6.337948717948718,4.169982503841381,20.118755211521563,58.33206770179233,47.365461282311394,32
6636,NSP BURNSCOT GRE_TR2,NSP.BUFFR_TR2,67,28.020680727594133,6.337948717948718,4.169982503841381,20.118755211521563,58.33206770179233,47.365461282311394,32
14372,AMIL PNCKYV69 PNCKVL69,AMIL.L69_AHOPK,56,17.943239739101205,7.0802564102564105,3.0248226296968648,9.67611258994174,57.02622860019989,49.14871326179879,67
12292,NSP WESTWAC WESTWA1,NSP.WESTSID1,58,24.96379549625634,6.115194375516957,3.9904885038580704,19.103614995878505,56.996025842747535,48.38281612870154,32
3319,NSP WESTWAC CLTR2,NSP.CHPFAL_TR2,58,24.96379549625634,6.115194375516957,3.9904885038580704,19.103614995878505,56.996025842747535,48.38281612870154,32
6364,CIN TIPTON BK1_69,CIN.TIPMONT,64,16.78526357904592,6.707923904052937,4.922362568723525,35.28762368154116,56.12155815055133,45.45387395527277,42
894,CIN GETRAG BK1,CIN.HENRYCO.1,59,16.78526357904592,6.707923904052937,4.922362568723525,35.28762368154116,56.12155815055133,45.45387395527277,42
11939,CIN TIPTON BK2_69,CIN.TIPMONT,64,16.78526357904592,6.707923904052937,4.922362568723525,35.28762368154116,56.12155815055133,45.45387395527277,42
5196,CIN GETRAG BK2,CIN.HENRYCO.2,59,16.78526357904592,6.707923904052937,4.922362568723525,35.28762368154116,56.12155815055133,45.45387395527277,42
7049,NSP ASSUMPTN ASSUMP1,NSP.HAMPTN.MVP,59,24.70086006740675,5.609900744416874,4.125389073462726,20.34585541666391,55.90114659935724,49.150497444687296,32
2648,EES ROBERT T1,EES.FRONT_TX1,69,32.67464122873237,5.559644334160463,9.46935136543566,125.1068262438356,55.76460006987818,30.557967352401633,69
6486,EES ROBERT T2,EES.FRONT_TX2,69,32.67464122873237,5.559644334160463,9.46935136543566,125.1068262438356,55.76460006987818,30.557967352401633,69
3663,EES AIRPRT_E AIRPRT,EES.AIRLIN.ARR,67,32.71139114163045,5.46737799834574,9.48146128174289,125.27728180842854,55.57548372603181,30.70099285978037,69
6282,CLEC MADSNV CLECO_CALC,CLEC.CLEC,58,32.71139114163045,5.46737799834574,9.48146128174289,125.27728180842854,55.57548372603181,30.70099285978037,69
13541,NSP PLATO TR1,NSP.WHEATO1,67,21.19467266672525,6.021306865177833,3.2295375243569455,13.280293394361195,55.4852892903319,50.17592742338501,32
8564,NSP DIAMND GLP_TR1,MEC.DIAMNDTR1,65,20.032363707661723,5.983713813068652,2.8262016740719886,10.262465671574672,54.906467071867176,50.99152807522023,32
7088,NSP COLNHILS GRE_TR1,NSP.CHARA_TR1,67,23.74086945213343,5.179123242349049,4.022641188213552,19.315826839757403,54.70722038286626,50.28847489138591,32
2202,NSP COLNHILS GRE_TR2,NSP.CHARA_TR2,67,23.74086945213343,5.179123242349049,4.022641188213552,19.315826839757403,54.70722038286626,50.28847489138591,32
10618,NSP GLNCOMUN TR_SMPA,CONS.MPPA,55,19.1271227632011,5.9434822167080235,2.4462818681322456,7.486719705310721,54.391461225349694,51.73606843494681,32
139,NSP WACONIAN WACONI1,NSP.OWATONA_7,61,22.095976224072594,5.01373035566584,3.955626622111961,19.088518014249047,53.899046555300835,50.8646613890788,32
13216,NSP WACONIAS WACONI2,NSP.OWATONA_7,61,21.27966344016329,4.780339123242349,3.908593825140247,18.825648961806582,53.16841994805353,51.469461447554714,32
2203,NSP WACONIAS WACONI1,NSP.OWATONA_7,61,21.27966344016329,4.780339123242349,3.908593825140247,18.825648961806582,53.16841994805353,51.469461447554714,32
6841,OTP VALYOTP TR1,OTP.OTP,64,26.5475362300861,5.532539288668321,-0.11247043379118646,7.3069611590861445,52.48824418774853,52.60102780753661,20
3503,SIPC SIPCLD02 LD,SIPC.SIPC,72,13.016928504617912,5.59343258891646,2.58333323307752,8.206924186791166,52.26613724796717,52.98994365075378,67
13951,AMIL GD_TOWER GDTY-716,AMIL.GDTOWER4,69,13.076029603600409,5.733731343283583,2.053605720899542,5.5049681935950225,52.20106074013703,53.3146090097548,67
7943,AMIL GD_TOWER GDTY-714,AMIL.GDTOWER4,69,13.076029603600409,5.733731343283583,2.053605720899542,5.5049681935950225,52.20106074013703,53.3146090097548,67
9629,AMIL GD_TOWER GDTY-717,AMIL.GDTOWER4,69,13.076029603600409,5.733731343283583,2.053605720899542,5.5049681935950225,52.20106074013703,53.3146090097548,67
8889,LAGT MAND_L MAND,LAGN.LAGN,56,26.96120593459291,4.330463192721257,9.167770189415151,120.1382101628265,51.78515035071981,34.47308793115316,69
1218,CLEC MANVIL CLECO_CALC,CLEC.CLEC,58,26.96120593459291,4.330463192721257,9.167770189415151,120.1382101628265,51.78515035071981,34.47308793115316,69
3920,NSP UMORE TR4_LOAD,NSP.NSTARSOLAR,56,10.915691860339361,5.3545185185185185,2.393918113048001,6.227883434255379,51.18619562728795,54.07140148641348,73
9343,NSP UMORE TR3_LOAD,NSP.NSTARSOLAR,56,10.915691860339361,5.3545185185185185,2.393918113048001,6.227883434255379,51.18619562728795,54.07140148641348,73
13520,NSP UMORE TR2_LOAD,NSP.PRISL2_LD,58,10.915691860339361,5.3545185185185185,2.393918113048001,6.227883434255379,51.18619562728795,54.07140148641348,73
7565,NSP UMORE TR1_LOAD,NSP.PRISL1_LD,58,10.915691860339361,5.3545185185185185,2.393918113048001,6.227883434255379,51.18619562728795,54.07140148641348,73
7320,SIPC SIPCLD03 LD,SIPC.SIPC,72,12.132620186424694,5.225781637717122,2.446074124096572,7.78146733592804,51.14308678115692,53.91911303172778,67
12121,LAGN GHEN GHEN,LAGN.LAGN,61,17.787328071339825,4.458805970149254,7.822560869234772,85.11838595615772,50.99160616904843,41.09795180562254,6
6596,LAGN ASLD ASLD,LAGN.LAGN,61,17.65496029452562,4.42613184079602,7.809745086108513,84.94608408268836,50.88823764304886,41.20748424470791,6
8697,NSP ORCHRDL GRE_TR1,NSP.CHARA_TR1,56,19.286735660438328,3.949503722084367,3.7488092948021103,17.853160351328643,50.79818500282773,53.51471554572385,32
10301,SIPC MURPHY2 LD1,AMIL.PSG2.SIPC,60,11.825799689809873,5.112671629445823,2.4027694443914296,7.684048014481936,50.785530874890874,54.20454566539613,67
14001,LAGN GRWD GRWD,GRE.NSP.GREC,54,17.534064798360287,4.388619402985074,7.790057178082973,84.65944029058346,50.77819541275907,41.344670099306114,6
911,LAGN MATH MATH,OTP.MPC.LANGDN,57,17.432670600825112,4.372164179104478,7.783318131036095,84.58151693403153,50.71681182385171,41.40280781196249,6
14044,LAGN LAND LAND,LAGN.LAGN,70,17.432654799050965,4.372164179104478,7.783342439280818,84.58182939310275,50.71681143408433,41.402753767896556,6
2607,AMIL SQIN SQIN_216,AMIL.BSEINDIP1,62,20.64724124253603,3.5770223325062034,4.380225963524739,23.348648467149978,50.608154129329485,53.00760704884248,77
9388,AMIL SQIN SQIN_265,CIN.PSI_2.AZ,60,20.64724124253603,3.5770223325062034,4.380225963524739,23.348648467149978,50.608154129329485,53.00760704884248,77
1914,AMIL SQIN SQIN_241,AMIL.BSEINDIP1,62,20.64724124253603,3.5770223325062034,4.380225963524739,23.348648467149978,50.608154129329485,53.00760704884248,77
9476,AMIL SQIN SQIN_250,CIN.PSI_2.AZ,60,20.64724124253603,3.5770223325062034,4.380225963524739,23.348648467149978,50.608154129329485,53.00760704884248,77
12710,NSP SAUKCNTN TR1_LOAD,NSP.NWELOAD,56,8.838385513169442,5.452617283950617,1.9021694567164669,3.9032531479986075,50.53025368209155,54.6649414053546,74
1487,NSP NWGERMNY NWGERM1,NSP.SHERC1.SLR,53,18.3701200836298,3.9459387923904057,3.6870567303348976,17.60673054788537,50.52056838022673,53.69229815581764,32
9619,GRE ST_BONIG U1_AUX,GRE.STBON1,69,18.3701200836298,3.9459387923904057,3.6870567303348976,17.60673054788537,50.52056838022673,53.69229815581764,32
2173,NSP HOLLYWD HOLLYW1,NSP.CODA.BYLL,56,18.3701200836298,3.9459387923904057,3.6870567303348976,17.60673054788537,50.52056838022673,53.69229815581764,32
5471,LAGN SHNT SHNT,NIPS.STJOHN.LN,57,17.034849285027345,4.315609452736318,7.6858351271213525,83.04505066973695,50.5069669880311,41.82678143932627,6
12054,LAGN BPIG BPIG,LAGN.BCI_2,58,17.034849285027345,4.315609452736318,7.6858351271213525,83.04505066973695,50.5069669880311,41.82678143932627,6
9945,LAGN BC1 BC1_LD,LAGN.BC1T_3,69,16.620253926150554,4.227151741293532,7.633480477432222,82.40916924094918,50.206819540676456,42.162110267603396,6
13469,LAGN WLOO WLOO,LAGN.LAGN,52,16.604486313148342,4.223669154228856,7.631418772637863,82.38257137596479,50.19525241480766,42.17548027645532,6
8758,LAGN DIMD DIMD,LAGN.DEMCO1.AZ,57,16.499057452784815,4.207039800995025,7.610624254524808,81.99215924796292,50.14040220140871,42.28661602876588,6
727,LAGN PLAQ PLAQ,LEPA.CPLAQ.ARR,64,16.499061779257733,4.207027363184079,7.6106202569117265,81.99209318968119,50.14037701270134,42.28665085099209,6
2232,SIPC YELLBNKS LD11,NIPS.HWND1.IPL,50,11.159037732581798,4.957171215880893,2.169115912343947,6.592052399292969,50.11500771000255,54.83491398919891,67
12115,LAGN BC2 BC2_STN_AUX_LD,LAGN.BC2_1,55,16.29235554135217,4.154676616915423,7.5970553707149655,81.96001235512713,49.96549140931558,42.422236469444144,6
5976,LAGN GRTE GRTE,GRE.NSP.GREC,69,16.20526193111625,4.140435323383084,7.568715881868201,81.42946516035126,49.92235447539547,42.55041468283099,6
12882,LAGN RAMO RAMO,AMMO.AEM.MO,64,15.99315496552469,4.098470149253732,7.584871344150413,81.91065555435657,49.762880741832014,42.57851834521202,6
7638,LAGN BLOU BLOU,LAGN.LAGN,52,15.981904344936794,4.073233830845771,7.6047042544292625,82.19773039054816,49.706250500688945,42.57796125764017,6
558,GRE HUT3M TR1,GRE.TRIMTTRIM,62,15.673397443455096,4.356004962779156,1.8100848136334144,4.426200804669552,49.67342324680069,55.90404458231609,57
10145,AMMO ELDN XFMR_W,AMMO.MARC_1.AZ,60,12.015893894245279,4.475483870967742,2.5514098504737475,8.00995993679598,49.59934862323528,55.30397416702999,66
11055,AMMO ELDN ELDN_71,AMMO.LINN_1.AZ,65,12.015893894245279,4.475483870967742,2.5514098504737475,8.00995993679598,49.59934862323528,55.30397416702999,66
5535,AMMO ELDN ELDN_72,AMMO.HANN.LD,62,12.015893894245279,4.475483870967742,2.5514098504737475,8.00995993679598,49.59934862323528,55.30397416702999,66
1723,AMMO SCRG SCRG_D,AMMO.CC.OSAGE,62,12.010050181674819,4.458676592224979,2.594844867593872,9.266089096240657,49.51572772444292,55.132119989808864,66
6135,AMMO SCRG SCRG_W,AMMO.CC.OSAGE,62,12.010050181674819,4.458676592224979,2.594844867593872,9.266089096240657,49.51572772444292,55.132119989808864,66
14020,LAGN VALV VALV,LAGN.LAGN,61,15.17928303370879,3.998047263681592,7.347920471335112,78.36221754560133,49.355424320882385,43.49125146401119,6
12576,AMMO RAIN2 RAIN,AMMO.HIPRAIRIE,69,11.919368249301137,4.377328370554177,2.647629634466405,9.869180081681366,49.331911711619604,55.18947964018562,66
